Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Instrumentos de Dívida Elegíveis a Capital (h);Passivo Exigível (i) = (e) + (f) + (g) + (h);Patrimônio Líquido (j);Passivo Total (k) = (i) + (j);
;;;;;;;;;Depósitos;;;;;;;Obrigações por Operações Compromissadas (b);Outros Instrumentos de Dívida;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósitos (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Demais instrumentos de dívida (c5);Outros Instrumentos de Dívida (c);;;;;;;;;
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;C;3;OSASCO;SP;03/2025;0;0;383.478;5.803.172;24.376.382;0;30.563.032;0;0;0;2.771.007;0;0;2.771.007;2.822.199;36.156.238;64.628;29.419.233;0;65.640.099;4.404.558;70.044.656
PAGSEGURO - PRUDENCIAL;1000084813;b1;S3;C;2;SAO PAULO;SP;03/2025;0;0;1.800.059;30.011.481;798.579;0;32.610.119;25.911;0;0;5.456.424;0;0;5.456.424;4.462.781;42.555.235;89.646;15.643.370;0;58.288.251;11.535.893;69.824.144
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;03/2025;621.118;0;187.318;8.600.863;0;0;9.409.298;2.250.578;1.562.990;5.615.935;16.442.884;0;0;23.621.809;12.190.552;47.472.237;3.998.172;2.605.455;3.672.349;57.748.213;6.487.579;64.235.791
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;03/2025;2.052.537;769.918;361.050;2.888.619;0;7.015.323;13.087.448;0;0;1.045.079;0;0;0;1.045.079;426.645;14.559.172;0;35.473.892;0;50.033.063;6.691.275;56.724.338
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;03/2025;0;0;8.299.469;18.371.154;0;0;26.670.623;0;0;0;14.397.318;0;60.946;14.458.264;2.920.722;44.049.609;56.893;3.481.493;1.771.496;49.359.490;5.438.282;54.797.773
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;03/2025;18.792;0;105.159;2.405.040;0;0;2.528.990;1.843.830;1.011.847;3.163.772;2.435.495;0;-68.932;6.542.182;31.174.752;42.089.753;1.997.929;868.708;1.990.370;46.946.761;5.669.566;52.616.327
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;03/2025;368.968;0;165.656;25.292.169;89;0;25.826.883;7.965.558;0;537;1.909.752;0;3.864.521;5.774.809;2.199.741;41.766.992;111.199;2.863.832;1.105.991;45.848.013;3.648.532;49.496.545
STONE IP - PRUDENCIAL;1000084686;n1;S4;C;3;SAO PAULO;SP;03/2025;0;0;50.290;9.507.956;1.279.038;0;10.837.283;0;0;0;3.507.845;1.195.526;1.060.908;5.764.279;228.448;16.830.011;256.209;19.549.882;510.368;37.146.469;10.266.397;47.412.867
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;03/2025;2.361.860;0;428.680;17.400.176;0;0;20.190.716;3.692.567;0;0;0;0;0;0;550.336;24.433.618;5.292.527;2.899.842;0;32.625.987;6.397.938;39.023.925
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;03/2025;1.016.640;4.625.652;132.544;17.141.828;0;8.192;22.924.855;9.949.449;599.430;705.744;0;0;0;1.305.174;301.787;34.481.266;0;1.437.493;0;35.918.759;2.271.952;38.190.710
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;03/2025;0;0;87.913;8.796.388;0;0;8.884.302;864.417;0;0;0;0;114.779;114.779;4.419.047;14.282.544;16.525.282;1.591.461;0;32.399.287;4.536.854;36.936.141
