Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;12/2024;18.415.641;180.442;17.229.268;705.693;1.186.373;46.656;677.078;16,96%;0,98%;0;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;12/2024;17.964.376;14.282.848;15.858.096;15.241.525;2.106.280;168.099;1.917.533;15,09%;4,79%;164;34
VOLVO - PRUDENCIAL;1000080769;b2;S3;C;3;CURITIBA;PR;12/2024;17.640.857;16.601.819;14.091.936;13.664.271;3.548.920;214.883;3.538.157;20,22%;15,24%;3;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;12/2024;17.487.977;17.124.488;14.995.603;14.794.977;2.492.374;902;2.458.476;13,62%;0,27%;2;0
SOFISA - PRUDENCIAL;1000080271;b1;S3;C;2;SAO PAULO;SP;12/2024;17.326.590;8.636.183;16.203.929;15.267.469;1.122.661;72.585;1.185.653;13,18%;10,41%;25;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;12/2024;17.324.741;14.253.425;14.430.717;12.340.330;2.894.024;178.318;2.511.647;18,78%;3,82%;3;0
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;12/2024;16.666.124;16.323.358;15.009.661;14.445.804;1.656.463;67.550;1.650.874;11,69%;0,34%;3;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S3;I;3;PORTO ALEGRE;RS;12/2024;16.001.738;15.160.887;14.562.469;12.863.392;1.439.269;-161.832;1.928.177;14,74%;2,93%;3;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;12/2024;15.820.732;6.529.323;12.738.641;11.309.577;3.082.091;214.145;3.002.519;25,94%;3,43%;0;129
BR PARTNERS - PRUDENCIAL;1000080934;b2;S4;C;2;SAO PAULO;SP;12/2024;14.824.828;466.940;14.148.522;12.087.548;676.306;-7.264;1.077.498;17,98%;2,22%;2;0
