Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
INTER;51884;b1;S3;C;2;BELO HORIZONTE;MG;12/2023;2.095.441;0;1.133.166;-101.820;29.056;0;3.155.843;-1.520.973;-1.266;0;0;-972.293;-2.494.532;661.310;535.957;42.555;-333.355;-723.409;-121.402;74.580;237.230;-261.294;-549.138;112.173;5.181;117.354;52.751;0;170.105;0
MASTER;50201;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2023;1.744.870;0;918.639;1.887;44.019;76.969;2.786.384;-1.984.322;0;0;0;-235.265;-2.219.587;566.797;51.833;9.371;-100.644;-646.236;-40.326;25.202;96.955;-141.500;-745.346;-178.548;-40.601;-219.149;468.596;-8.215;241.232;0
AGIBANK;51956;b1;S4;C;2;CAMPINAS;SP;12/2023;2.494.323;0;235.687;-38.255;0;0;2.691.754;-1.034.168;0;0;0;-455.134;-1.489.301;1.202.453;10.881;58.129;-53.424;-963.860;-82.376;167.865;11.979;-58.011;-908.817;293.636;217;293.852;-11.343;0;282.509;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;12/2023;789.476;0;1.796.441;0;0;35.685;2.621.601;-1.894.326;-3.220;0;0;-82.118;-1.979.663;641.938;66.501;97.221;-218.230;-195.708;-48.457;29.452;16.643;-92.867;-345.445;296.493;3.805;300.298;-61.106;-53.814;185.378;0
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;12/2023;1.646.079;0;808.248;116.507;2.949;0;2.573.784;-1.698.145;-3;0;0;-1.282.549;-2.980.696;-406.912;175.012;21.173;-194.260;-640.586;-47.320;-990;13.677;-182.955;-856.250;-1.263.162;1.099;-1.262.063;548.498;-34.245;-747.810;0
BANCO CSF S.A.;8357240;b2;S3;I;2;SAO PAULO;SP;12/2023;2.507.718;0;56.985;0;0;0;2.564.703;-234.840;0;0;0;-1.729.397;-1.964.237;600.466;507.742;317.370;-103.490;-633.215;-117.720;65.339;42.208;-605.641;-527.406;73.061;0;73.061;35.929;0;108.989;0
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;12/2023;2.351.964;0;186.425;-19.173;27;1.258;2.520.502;-893.152;-1.037;0;0;-262.527;-1.156.716;1.363.786;37.974;121.252;-268.159;-462.073;-93.862;100.677;256.606;-760.352;-1.067.939;295.847;8.847;304.694;-28.762;-22.815;253.117;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;b1;S3;C;3;SAO PAULO;SP;12/2023;612.265;0;1.558.798;-81.098;176.215;0;2.266.179;-1.191.155;-580.244;0;0;26.372;-1.745.028;521.152;293.052;804;-407.933;-310.876;-35.344;3.629;157.815;-339.268;-638.121;-116.969;175;-116.794;75.812;-7.166;-48.148;0
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;12/2023;1.088.920;0;1.054.874;0;3.016;0;2.146.810;-527.361;-819.539;0;0;-273.915;-1.620.814;525.996;267.252;124.299;-381.562;-184.562;-78.473;0;1.054.790;-354.049;447.693;973.689;90;973.779;-104.291;-90.262;779.226;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;12/2023;1.159.057;0;797.536;39.875;67.692;0;2.064.159;-610.286;-656.562;0;0;128.549;-1.138.299;925.860;68.325;1.498;-200.692;-225.951;-49.921;0;24.919;-60.893;-442.715;483.146;-76;483.070;-27.406;-50.421;405.242;0
