Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;C;2;SAO PAULO;SP;09/2025;24.119.747;18.846.716;614.840;22.523.686;4.648.466;1.596.062;79.841;2.594.801;12,00%;7,15%;5;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;09/2025;22.687.049;0;12.763.995;16.139.116;4.946.991;6.547.933;196.493;6.494.204;21,46%;0,87%;4;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S3;I;2;BELO HORIZONTE;MG;09/2025;22.431.780;1.004.993;5.253.323;21.513.750;0;918.030;37.859;532.911;13,54%;1,96%;0;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;2;SAO PAULO;SP;09/2025;22.051.633;17.261.498;935.697;19.007.043;3.868.153;3.044.590;97.927;2.866.164;15,83%;7,06%;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;09/2025;21.876.586;213.116;4.099.642;20.448.056;693.241;1.428.530;37.941;873.365;18,33%;0,98%;0;0
BANK OF CHINA (BRASIL) - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;09/2025;21.854.178;13.110.433;5.275.317;19.754.607;17.675.072;2.099.571;44.644;2.999.542;16,17%;1,64%;16;1
UBS (BRASIL) - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;09/2025;21.547.334;5.792.380;3.936.281;14.880.671;4.286.726;6.666.663;-61.925;6.186.085;43,65%;1,41%;15;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;09/2025;20.723.077;6.984.092;9.783.744;19.500.229;18.184.705;1.222.848;34.816;1.034.564;11,19%;9,94%;2;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;09/2025;20.025.688;18.452.435;287.109;17.685.320;16.754.284;2.340.368;22.494;2.336.480;13,01%;0,62%;4;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;09/2025;19.707.329;9.236.694;4.173.978;16.809.211;14.268.202;2.898.118;71.014;2.847.542;18,84%;0,41%;2;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;09/2025;19.575.513;15.109.179;1.666.527;17.353.583;16.417.998;2.221.930;24.474;2.223.391;16,01%;5,61%;165;34
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S3;I;2;RIBEIRAO PRETO;SP;09/2025;18.080.663;0;1.988.345;17.280.179;1.011.481;800.485;27.470;485.894;16,86%;1,61%;0;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;09/2025;17.846.723;8.943.270;2.627.963;14.388.965;12.666.218;3.457.757;104.181;3.364.701;28,64%;3,47%;0;127
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;09/2025;17.470.744;10.045.343;3.610.017;10.675.963;8.194.828;6.794.781;259.149;3.699.787;27,38%;0,23%;5;0
VOLVO - PRUDENCIAL;1000080769;b2;S3;C;3;CURITIBA;PR;09/2025;17.087.561;15.821.162;14.542;13.195.606;12.811.980;3.891.955;104.380;3.880.871;23,15%;14,66%;3;0
SCANIA - PRUDENCIAL;1000080776;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;09/2025;16.461.116;15.418.142;3.403;14.728.564;14.359.527;1.732.552;8.200;1.720.779;12,28%;0,68%;3;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;09/2025;16.037.565;12.790.534;59.384;13.064.528;11.178.845;2.973.037;87.211;2.589.819;20,56%;0,00%;3;0
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S3;I;2;FRANCISCO BELTRAO;PR;09/2025;16.034.445;78.096;4.019.548;15.366.044;9.488.950;668.402;7.243;668.351;13,88%;24,04%;0;0
BR PARTNERS - PRUDENCIAL;1000080934;b2;S4;C;2;SAO PAULO;SP;09/2025;15.936.821;455.055;13.789.432;15.232.716;14.176.030;704.105;12.688;1.335.766;20,36%;1,53%;2;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;09/2025;15.711.392;8.362.702;660.328;12.354.405;11.305.444;3.356.987;96.764;3.356.987;32,51%;1,33%;0;115
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;I;3;SAO PAULO;SP;09/2025;15.085.536;4.082.004;4.517.853;12.185.920;8.410.657;2.899.615;14.613;2.900.166;15,05%;0,83%;2;0
COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL;315557;b3C;S3;I;2;SAO PAULO;SP;09/2025;14.948.184;0;8.940.084;14.278.081;0;670.103;1.683;378.958;26,34%;9,21%;0;1
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;09/2025;14.590.430;7.476.262;5.318.957;12.237.905;10.925.783;2.352.525;62.402;2.119.773;24,63%;0,92%;2;0
MIZUHO - PRUDENCIAL;1000080697;b1;S3;I;3;SAO PAULO;SP;09/2025;14.513.239;3.163.593;6.674.458;13.201.378;12.322.321;1.311.861;38.659;1.281.733;23,12%;0,30%;2;0
BANCO HSBC - PRUDENCIAL;1000084741;b1;S3;I;3;SAO PAULO;SP;09/2025;14.294.329;4.495.631;4.058.217;12.855.824;10.630.769;1.438.505;4.630;1.917.798;23,62%;1,87%;2;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;09/2025;14.264.201;1.898.650;4.788.186;12.649.288;11.645.141;1.614.914;34.075;1.578.560;29,88%;0,68%;2;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;09/2025;13.952.001;5.308.298;3.011.246;13.054.500;11.735.465;897.501;47.037;902.629;12,94%;12,29%;66;7
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S3;I;3;PORTO ALEGRE;RS;09/2025;13.819.497;12.484.776;0;12.662.696;11.444.805;1.156.801;-106.807;1.659.882;13,63%;3,60%;3;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S3;I;2;SERTAOZINHO;SP;09/2025;13.780.867;8.420.605;327.872;11.983.175;11.072.779;1.797.693;41.633;1.738.283;16,97%;5,60%;0;43
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;b3S;S3;I;2;MARINGA;PR;09/2025;13.691.036;8.176.323;3.672.476;12.387.349;7.524.534;1.303.687;62.569;1.510.299;16,29%;23,05%;0;113
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S3;C;3;SAO PAULO;SP;09/2025;13.395.274;1.290.237;4.271.321;10.003.511;8.794.703;3.391.763;153.751;3.389.962;37,49%;1,13%;4;0
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;09/2025;13.379.099;115.222;3.417.611;12.702.883;905.302;676.216;3.073;508.084;16,88%;4,25%;0;0
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S3;I;2;BLUMENAU;SC;09/2025;13.059.120;874.364;8.584.719;12.088.004;2.466.605;971.116;0;577.681;39,15%;5,69%;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S3;I;2;LUCAS DO RIO VERDE;MT;09/2025;12.411.610;8.206.880;2.620.532;10.475.660;5.389.977;1.935.950;107.265;1.961.460;17,94%;6,45%;0;40
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;09/2025;12.355.067;8.639.617;2.126.995;11.005.478;10.728.977;1.349.589;31.519;1.004.595;16,71%;8,97%;4;0
BCO INBURSA S.A. - PRUDENCIAL;1000081335;b1;S4;I;3;SAO PAULO;SP;09/2025;12.115.564;11.548.046;427.678;10.738.348;10.618.956;1.377.216;32.193;1.380.856;15,12%;0,07%;2;1
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;09/2025;12.096.978;7.608.343;3.148.533;10.950.720;7.262.829;1.146.258;90.911;1.377.794;16,03%;9,18%;0;98
COOPERATIVA DE CRÉDITO CONEXÃO - SICOOB CONEXÃO;32430233;b3S;S5;I;2;LINHARES;ES;09/2025;12.046.633;7.466.418;1.050.421;9.715.189;8.222.774;2.331.445;167.511;2.331.232;25,74%;3,10%;0;47
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;C;3;SAO PAULO;SP;09/2025;11.980.274;10.240.077;0;10.565.657;9.917.953;1.414.617;76.483;1.406.783;14,67%;4,39%;3;0
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90608712;b3S;S4;I;2;CARLOS BARBOSA;RS;09/2025;11.584.451;5.989.817;4.387.662;10.364.993;7.773.946;1.219.457;72.072;1.282.770;17,22%;10,85%;0;53
