Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BMG;30290;b1;S3;C;2;SAO PAULO;SP;12/2024;4.496.135;0;1.356.403;-668.890;80.708;0;5.264.356;-2.109.933;-50.810;0;0;-541.042;-2.701.785;2.562.571;48.856;33.010;-177.709;-1.122.108;-67.830;55.981;301.564;-1.485.555;-2.413.792;148.779;84.522;233.301;67.703;-82.221;218.784;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;12/2024;2.191.801;0;1.837.638;445.574;544.290;0;5.019.304;-2.223.076;-1.918.058;0;0;-126.945;-4.268.079;751.225;196.611;14.975;-244.917;-197.783;-52.688;93.614;426.939;-338.640;-101.890;649.334;3.000;652.334;6.070;-132.231;526.173;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;C;1;FORTALEZA;CE;12/2024;1.519.234;0;2.534.724;160.591;100.234;9.126;4.323.909;-919.205;-1.327.853;0;0;-185.045;-2.432.103;1.891.806;1.967.940;61.154;-1.521.882;-1.239.838;-301.241;0;2.116.263;-642.158;440.237;2.332.044;9.164;2.341.207;-829.857;-188.903;1.322.448;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;C;3;SAO PAULO;SP;12/2024;3.740.727;13.336;110.255;110.441;0;0;3.974.759;-2.150.241;-759.072;-11.137;0;-644.209;-3.564.659;410.100;0;180.692;-2.569;-328.631;-98.792;50.072;599.031;-736.174;-336.371;73.730;-51.223;22.506;287.977;0;310.483;0
INTER;51884;b1;S3;C;2;BELO HORIZONTE;MG;12/2024;2.620.033;0;1.265.517;-41.320;43.233;0;3.887.463;-1.780.272;-5.218;0;0;-1.048.382;-2.833.872;1.053.592;659.115;46.723;-401.461;-920.012;-141.709;27.180;431.994;-441.736;-739.904;313.687;41.435;355.122;33.033;0;388.155;0
BRB;31976;b1;S3;C;1;BRASILIA;DF;12/2024;3.101.437;0;648.037;0;2.084;26.928;3.778.486;-2.315.733;-14.501;0;0;249.207;-2.081.027;1.697.459;69.197;75.068;-623.913;-522.788;-109.232;76.584;152.084;-361.363;-1.244.363;453.096;-52.747;400.349;-123.863;-49.553;226.933;0
AGIBANK;51956;b1;S3;C;2;CAMPINAS;SP;12/2024;3.402.251;0;320.544;7.560;0;0;3.730.355;-1.528.857;-44.385;0;0;-549.349;-2.122.591;1.607.764;11.212;65.118;-65.547;-1.402.290;-105.801;377.412;29.886;-129.635;-1.219.645;388.118;268;388.386;41.146;-762;428.770;0
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;12/2024;2.970.111;0;359.271;39.038;20;2.955;3.371.395;-1.175.801;-776;0;0;-234.475;-1.411.052;1.960.344;28.251;102.633;-319.839;-610.085;-115.558;117.236;216.553;-887.800;-1.468.610;491.734;47.695;539.429;-75.256;-56.837;407.337;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;b1;S3;C;3;SAO PAULO;SP;12/2024;306.670;0;1.149.560;1.386.735;202.554;0;3.045.518;-895.849;-1.242.024;0;0;155.937;-1.981.935;1.063.583;187.683;1.299;-447.129;-331.792;-31.849;945;310.102;-799.149;-1.109.890;-46.307;-109;-46.416;36.637;-14.090;-23.869;0
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;12/2024;106.169;0;979.090;695.491;295.052;813.862;2.889.664;-824.002;-137.236;0;0;-814;-962.053;1.927.611;820.961;6.726;-715.637;-245.261;-90.313;0;665.282;-1.573.793;-1.132.036;795.575;-653;794.922;-145.177;0;649.745;0
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;12/2024;1.521.993;0;1.085.014;0;10.715;0;2.617.722;-574.469;-1.154.191;0;0;-666.753;-2.395.413;222.309;283.350;121.483;-388.475;-314.063;-78.902;0;1.072.969;-337.935;358.428;580.737;858;581.595;111.823;-100.537;592.881;0
BANCO CSF S.A.;8357240;b2;S3;I;2;SAO PAULO;SP;12/2024;2.551.026;0;58.791;0;0;0;2.609.817;-191.267;0;0;0;-1.863.504;-2.054.771;555.046;582.220;361.541;-110.047;-680.751;-151.855;82.820;54.335;-572.233;-433.970;121.076;84;121.160;17.759;0;138.919;0
BOCOM;52003;b1;S3;C;3;SALVADOR;BA;12/2024;1.438.417;0;650.211;146.276;235.823;0;2.470.727;-2.708.807;-1.218.704;0;0;-20.853;-3.948.365;-1.477.638;38.912;28.862;-49.618;-60.966;-17.478;11.823;2.259.127;-445.024;1.765.638;288.001;200;288.201;-93.741;-67.290;127.170;0
MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;37679449;n1;S4;C;3;OSASCO;SP;12/2024;1.984.866;0;197.884;125.801;0;0;2.308.551;-410.772;-218.581;0;-16.995;-1.635.115;-2.281.463;27.088;0;0;-68.944;-28.479;-135.759;0;302.490;-589.372;-520.063;-492.975;0;-492.975;197.235;0;-295.740;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;12/2024;884.209;0;1.312.991;0;0;36.807;2.234.007;-1.480.104;-5.958;0;0;-107.653;-1.593.716;640.291;71.472;102.464;-236.554;-206.242;-50.602;42.361;24.415;-66.287;-318.974;321.317;34.845;356.162;-63.143;-68.994;224.025;0
PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.;8561701;n4;S4;C;2;SAO PAULO;SP;12/2024;0;0;2.095.631;-10.256;0;71.380;2.156.755;0;-1.458.042;0;0;0;-1.458.042;698.713;4.509.448;0;-284.184;-1.767.413;-643.972;68.050;2.884.749;-4.989.954;-223.276;475.437;-23.900;451.537;79.631;-51.426;479.742;0
