Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5);;;;;;;;;;;
CIELO IP - PRUDENCIAL;1000084710;n4;S5;2;C;2;BARUERI;SP;09/2023;NA;NA;NA;NA;11.777.156;12.569.200;1.216;NA;NA;NA;NA;1.216;0;17.255.201;29.825.617;NA;NA%;NA%;39,49%;NA;NA%;NA%
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;1;C;2;PORTO ALEGRE;RS;09/2023;4.288.082;233.142;4.521.224;318.664;4.839.887;25.308.868;275.477;0;482.554;0;114.123;872.154;2.950.367;0;29.131.390;174.200.533;14,72%;15,52%;16,61%;728.285;2,60%;1,99%
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;3;C;2;SAO PAULO;SP;09/2023;9.490.967;0;9.490.967;0;9.490.967;5.959.060;19.079;0;0;0;47.551;66.630;11.125.653;10.072.102;27.223.445;0;34,86%;34,86%;34,86%;680.586;NI%;NA%
BRB - PRUDENCIAL;1000080288;b1;S3;1;C;1;BRASILIA;DF;09/2023;2.036.791;428.071;2.464.863;1.436.032;3.900.895;25.014.000;25.922;0;0;0;0;25.922;1.810.956;0;26.850.877;50.256.615;7,59%;9,18%;14,53%;671.272;4,90%;14,46%
BANCOOB - PRUDENCIAL;1000080879;b1;S3;1;C;2;BRASILIA;DF;09/2023;3.534.714;0;3.534.714;0;3.534.714;20.589.747;195.856;0;4.848;0;0;200.704;4.489.887;0;25.280.337;135.583.791;13,98%;13,98%;13,98%;632.008;2,61%;15,53%
INTER - PRUDENCIAL;1000080996;b1;S3;1;C;2;BELO HORIZONTE;MG;09/2023;5.964.109;0;5.964.109;0;5.964.109;20.745.143;166.995;0;174.719;0;0;341.714;4.035.634;0;25.122.491;46.413.162;23,74%;23,74%;23,74%;628.062;12,85%;8,96%
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;3;C;2;SAO PAULO;SP;09/2023;2.610.519;0;2.610.519;905.878;3.516.397;17.976.443;12.326;0;90.667;0;19.320;122.313;6.212.462;722.509;25.033.727;32.840.501;10,43%;10,43%;14,05%;0;7,95%;NA%
BMG - PRUDENCIAL;1000080178;b1;S3;1;C;2;SAO PAULO;SP;09/2023;2.348.295;115.252;2.463.547;895.794;3.359.340;22.582.509;73.223;0;221.168;834;9.265;304.491;2.048.341;0;24.935.341;40.263.906;9,42%;9,88%;13,47%;623.384;6,12%;36,73%
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;;C;1;PORTO ALEGRE;RS;09/2023;4.087.715;0;4.087.715;0;4.087.715;22.950.466;57.241;0;136.783;4.572;0;198.596;1.465.033;0;24.614.096;22.945.638;16,61%;16,61%;16,61%;615.352;17,81%;1,01%
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;;C;3;SAO PAULO;SP;09/2023;6.192.934;0;6.192.934;0;6.192.934;9.892.128;801.766;0;7.377.316;733.576;1.158.093;10.070.751;3.986.670;0;23.949.549;40.192.166;25,86%;25,86%;25,86%;598.739;15,41%;1,26%
