Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWAdrc (g6);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6);;;;;;;;;;;
INTER - PRUDENCIAL;1000080996;b1;S3;1;C;2;BELO HORIZONTE;MG;09/2024;5.557.930;0;5.557.930;0;5.557.930;25.007.292;152.289;75.115;450.547;4.052;0;646.687;1.328.691;5.939.055;410.647;32.685.686;55.101.311;17,00%;17,00%;17,00%;817.142;10,09%;7,62%
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;3;C;2;SAO PAULO;SP;09/2024;2.042.684;0;2.042.684;1.056.967;3.099.650;25.040.997;13.714;0;179.503;0;30.701;0;223.917;6.417.337;370.469;32.052.721;42.468.540;6,37%;6,37%;9,67%;801.318;4,81%;NA%
BRB - PRUDENCIAL;1000080288;b1;S3;1;C;1;BRASILIA;DF;09/2024;2.459.111;486.120;2.945.231;1.331.410;4.276.641;29.368.119;28.301;0;0;0;0;0;28.301;2.258.254;271.555;31.926.229;59.519.942;7,70%;9,23%;13,40%;798.156;4,95%;15,92%
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;;C;2;SAO PAULO;SP;09/2024;3.460.452;1.152.793;4.613.245;1.045.060;5.658.305;20.481.378;507.048;7.398;5.061.440;17.962;1.669.023;4.083;7.266.955;3.291.573;0;31.039.906;53.213.306;11,15%;14,86%;18,23%;775.998;8,67%;1,09%
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;3;C;2;SAO PAULO;SP;09/2024;9.339.375;0;9.339.375;0;9.339.375;6.187.717;47.542;0;0;0;38.599;0;86.141;11.833.463;12.456.287;30.563.608;0;30,56%;30,56%;30,56%;1.146.135;NI%;NA%
CIELO IP - PRUDENCIAL;1000084710;n4;;2;C;2;BARUERI;SP;09/2024;NA;NA;NA;NA;5.676.639;9.769.650;968;NA;NA;NA;NA;NA;968;0;17.462.366;27.232.984;NA;NA%;NA%;20,84%;NA;NA%;NA%
BMG - PRUDENCIAL;1000080178;b1;S3;1;C;2;SAO PAULO;SP;09/2024;2.715.800;113.969;2.829.768;940.349;3.770.118;24.460.248;34.095;0;93.779;748;4.410;0;133.031;2.335.791;0;26.929.071;42.339.323;10,09%;10,51%;14,00%;673.227;6,68%;26,09%
BANCOOB - PRUDENCIAL;1000080879;b1;S2;1;C;2;BRASILIA;DF;09/2024;4.570.370;621.900;5.192.270;0;5.192.270;21.023.818;138.315;0;28.248;6.331;0;1.939;174.833;5.149.013;0;26.347.664;153.650.107;17,35%;19,71%;19,71%;658.692;3,38%;12,04%
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;;C;2;SAO PAULO;SP;09/2024;6.044.467;0;6.044.467;0;6.044.467;5.535.885;648.628;0;10.704.839;0;1.495.139;357.380;13.205.987;5.032.071;0;23.773.942;41.118.408;25,42%;25,42%;25,42%;594.349;14,70%;1,39%
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;;C;2;SAO PAULO;SP;09/2024;5.853.698;0;5.853.698;0;5.853.698;5.731.341;861.770;710.089;6.851.643;3.456.893;1.457.740;1.188.254;14.526.389;3.260.945;0;23.518.675;22.003.120;24,89%;24,89%;24,89%;1.175.934;26,60%;1,25%
