Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;06/2024;54.051;2.229.453;19.047.199;27.938.867;-1.017.591;26.921.276;0;0;0;0;0;1.623.458;970.007;203.642;51.049.087;0;51.049.087
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;C;3;OSASCO;SP;06/2024;523.353;50.013;17.530.477;4.219.674;-1.985.725;2.233.949;0;0;0;0;0;9.700.671;16.260.077;496.403;46.794.943;0;46.794.943
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;06/2024;1.096;700.954;828.231;38.168.690;-1.485.604;36.683.086;400;53.286;10.444;-196;63.935;6.156.145;1.658.869;44.733;46.137.047;10.444;46.126.603
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;06/2024;25.288;2.456.245;8.841.747;14.157.905;-1.981.345;12.176.559;0;0;0;0;0;15.116.685;5.905.958;1.184.133;45.706.615;0;45.706.615
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;06/2024;201.916;56.605;12.227.019;23.449.415;-1.189.790;22.259.625;0;0;0;0;0;6.542.501;2.867.104;1.476.318;45.631.089;0;45.631.089
STONE IP - PRUDENCIAL;1000084686;n1;S4;C;3;SAO PAULO;SP;06/2024;5.394;26.597;1.140.692;682.731;-35.776;646.955;0;0;0;0;0;1.183.406;38.262.100;2.012.361;43.277.505;0;43.277.505
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;06/2024;19.610;2.987.811;5.149.117;1.524.871;-2.473;1.522.399;0;0;0;0;0;32.918.747;19.466;41.619;42.658.770;0;42.658.770
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;06/2024;164.638;3.169.926;13.487.399;912.138;-2.116;910.022;0;0;0;0;0;6.746.306;17.127.426;84.361;41.690.080;0;41.690.080
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;06/2024;186.903;4.577.039;20.850.519;10.014.801;-347.399;9.667.402;0;0;0;0;0;1.233.906;1.313.285;607.675;38.436.729;0;38.436.729
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;06/2024;3.508;2.122.506;30.335.300;301.432;-9.043;292.389;0;0;0;0;0;4.461.263;1.734;26.126;37.242.826;0;37.242.826
