Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);Títulos e Valores Mobiliários (c);Instrumentos Derivativos (d);Operações de Crédito;;;;;Operações de Arrendamento Financeiro;;;;Outras Operações com Características de Concessão de Crédito;;;;;Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago);;;Outros Ativos Realizáveis (i);Ativo Permanente (j);Ativo Total (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);
;;;;;;;;;;;;;Valor Contábil Bruto (e1);Perda Esperada (e2);Hedge de Valor Justo (e3);Ajuste a Valor Justo (e4);Operações de Crédito (e);Valor Contábil Bruto (f1);Perda Esperada (f2);Hedge de Valor Justo (f3);Operações de Arrendamento Financeiro (f);Valor Contábil Bruto (g1);Perda Esperada (g2);Hedge de Valor Justo (g3);Ajuste a Valor Justo (g4);Outras Operações com Características de Concessão de Crédito (g);Valor Contábil Bruto (h1);Perda Esperada (h2);Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago) (h);;;;
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;C;2;SAO PAULO;SP;06/2025;115.490;34.116;442.960;91.610;7.487.063;-2.498.008;0;0;4.989.054;0;0;0;0;0;0;0;0;0;13.413.302;-64.556;13.348.746;3.343.376;248.435;22.613.788
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;06/2025;364.126;762.484;8.999.479;328.627;2.998.848;-94.793;0;0;2.904.055;0;0;0;0;5.090.419;-24.169;0;0;5.066.250;0;0;0;3.544.905;111.127;22.081.053
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;2;SAO PAULO;SP;06/2025;2.632;0;935.652;0;10.438.558;-5.510.668;0;0;4.927.890;0;0;0;0;0;0;0;0;0;13.450.890;-1.134.410;12.316.480;2.541.287;986.251;21.710.191
STELLANTIS - PRUDENCIAL;1000087298;b2;S4;C;3;SAO PAULO;SP;06/2025;24.274;1.233.733;506.842;64.721;18.888.734;-218.565;0;0;18.670.169;0;0;0;0;140.790;-94;0;0;140.696;11.512;-207;11.305;688.263;75.457;21.415.460
UBS (BRASIL) - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;06/2025;855.382;5.433.877;3.311.183;3.239.031;2.861.887;-750;0;-80.341;2.780.796;0;0;0;0;2.832.012;-2.200;0;-20.544;2.809.267;0;0;0;2.799.202;81.518;21.310.255
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;06/2025;9.989;15.735.987;4.393.888;0;194.897;-1.009;0;0;193.887;0;0;0;0;0;0;0;0;0;0;0;0;136.301;603.520;21.073.572
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S3;I;2;BELO HORIZONTE;MG;06/2025;13.851;14.134.400;5.253.473;0;1.032.298;-7.239;0;0;1.025.059;0;0;0;0;0;0;0;0;0;0;0;0;7.414;397.746;20.831.944
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;06/2025;404.631;5.706.246;2.561.166;1.751.826;795.493;-943;0;0;794.551;0;0;0;0;9.006.945;-8.206;0;0;8.998.739;0;0;0;377.651;12.352;20.607.163
CLOUDWALK IP - PRUDENCIAL;1000086581;n1;S5;C;2;SAO PAULO;SP;06/2025;83.194;1.011.433;441.472;0;23.464;-1.066;0;0;22.398;0;0;0;0;0;0;0;0;0;0;0;0;18.458.924;35.295;20.052.716
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;06/2025;277.579;536.776;1.823.131;150;15.139.257;-552.652;0;0;14.586.605;0;0;0;0;72.981;-1.107;0;0;71.873;118.024;0;118.024;1.785.521;314.876;19.514.535
